Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case
4/14/2020,Assam,3491,Tested,31,3267,193,,,,,,,3212,440,240,,,0.89%,0.1,102,113
4/15/2020,Assam,3613,Tested,32,3492,89,,,,,,,3212,440,240,,,0.89%,0.11,105,113
4/16/2020,Assam,4108,Tested,34,3803,,,,,,,,3338,440,303,,,0.83%,0.12,120,121
4/17/2020,Assam,4236,Tested,34,4024,,,,,,,,3338,440,303,,,0.80%,0.12,124,125
4/18/2020,Assam,4400,Tested,34,4199,,,,,,,,3338,440,303,,,0.77%,0.13,128,129
4/19/2020,Assam,4865,Tested,34,4584,,,,,,,,3338,440,303,,,0.70%,0.14,142,143
4/20/2020,Assam,5112,Tested,34,4937,,,,,,,,3338,440,303,,,0.67%,0.15,149,150
4/21/2020,Assam,5514,Tested,34,5245,,,,,,,,3338,440,303,,,0.62%,0.16,161,162
4/24/2020,Assam,6680,Tested,35,6391,,,,,,,,3338,440,303,,,0.52%,0.19,195,191
4/25/2020,Assam,7159,Tested,35,6781,,,,,,,,3338,440,303,,,0.49%,0.21,209,205
4/26/2020,Assam,7823,Tested,35,7474,,,,,,,,3338,440,303,,,0.45%,0.23,228,224
4/27/2020,Assam,8117,Tested,35,7985,,,,,,,,3338,440,303,,,0.43%,0.24,237,232
4/28/2020,Assam,,Tested,,,,,,,,,,,,,,,,0,0,
4/29/2020,Assam,9520,Tested,37,8771,,,,,,,,3338,440,303,,,0.39%,0.28,278,257
4/30/2020,Assam,,Tested,,,,,,,,,,,,,,,,0,0,
5/1/2020,Assam,,Tested,,,,,,,,,,,,,,,,0,0,
5/2/2020,Assam,11623,Tested,42,10499,,,,,,,,3338,440,303,,,0.36%,0.34,339,277
5/3/2020,Assam,,Tested,,,,,,,,,,,,,,,,0,0,
5/4/2020,Assam,12775,Tested,42,11764,,,,,,,,3338,440,303,,,0.33%,0.37,373,304
5/5/2020,Assam,13442,Tested,43,12533,,,,,,,,3338,440,303,,,0.32%,0.39,392,313
5/9/2020,Assam,16167,Tested,59,15076,,,,,,,,3338,595,332,,,0.36%,0.47,471,274
5/10/2020,Assam,18002,Tested,62,16236,,,,,,,,3338,595,332,,,0.34%,0.52,525,290
5/11/2020,Assam,19589,Tested,64,17813,,,,,,,,3338,595,332,,,0.33%,0.57,571,306
5/12/2020,Assam,21791,Tested,64,19211,,,,,,,,3338,595,332,,,0.29%,0.64,635,340
5/13/2020,Assam,,,,,,,,,,,,,,,,,,0,0,
5/14/2020,Assam,25824,Tested,86,23178,,,,,,,,3338,595,332,,,0.33%,0.75,753,300
5/15/2020,Assam,28178,Tested,86,25431,,,,,,,,3338,595,332,,,0.31%,0.82,822,328
5/16/2020,Assam,31276,Tested,91,28332,,,,,,,,3338,595,332,,,0.29%,0.91,912,344
5/17/2020,Assam,34376,Tested,97,32035,,,,,,,,3338,595,332,,,0.28%,1,1002,354
5/18/2020,Assam,37898,Tested,106,35159,,,,,,,,3338,595,332,,,0.28%,1.11,1105,358
5/19/2020,Assam,41116,Tested,141,38138,,,,,,,,3338,595,332,,,0.34%,1.2,1199,292
5/20/2020,Assam,47084,Tested,170,42729,,,,,,,,3338,595,332,,,0.36%,1.37,1373,277
5/21/2020,Assam,51730,Tested,203,46442,,,,,,,,3338,595,332,,,0.39%,1.51,1508,255
5/22/2020,Assam,55791,Tested,259,50450,,,,,,,,3338,595,332,,,0.46%,1.63,1627,215
5/23/2020,Assam,60405,Tested,329,54185,,,,,,,,3338,595,332,,,0.54%,1.76,1761,184
5/24/2020,Assam,66444,Tested,378,58972,,,,,,,,3338,595,332,,,0.57%,1.94,1938,176
5/25/2020,Assam,70029,Tested,526,62244,,,,,,,,3338,595,332,,,0.75%,2.04,2042,133
5/26/2020,Assam,72654,Tested,616,66562,,,,,,,,3338,595,332,,,0.85%,2.12,2119,118
5/29/2020,Assam,92390,Tested,1024,84933,,,,,,,,3338,595,332,,,1.11%,2.69,2694,90
5/30/2020,Assam,101257,Tested,1185,91248,,,,,,,,3338,595,332,,,1.17%,2.95,2953,85
5/31/2020,Assam,109097,Tested,1272,101006,,,,,,,,3338,595,332,,,1.17%,3.18,3181,86
6/2/2020,Assam,120375,Tested,1513,111229,,,,,,,,3338,595,332,,,1.26%,3.51,3510,80
6/3/2020,Assam,126726,Tested,1672,117650,,,,,,,,3338,595,332,,,1.32%,3.7,3695,76
6/4/2020,Assam,133029,Tested,1988,122618,,,,,,,,3338,595,332,,,1.49%,3.88,3879,67
6/6/2020,Assam,146605,Tested,2397,136154,8054,,,,,,,3338,595,332,,,1.64%,4.28,4275,61
6/7/2020,Assam,153326,Tested,2565,142192,,,,,,,,3338,595,332,,,1.67%,4.47,4471,60
6/9/2020,Assam,169842,Tested,2937,159760,,,,,,,,3338,595,332,,,1.73%,4.95,4953,58
6/11/2020,Assam,181108,Tested,3319,171070,,,,,,,,3338,595,332,,,1.83%,5.28,5281,55
6/12/2020,Assam,188090,Tested,3498,177989,,,27197,Facility,,,,,595,398,,,1.86%,5.48,5485,54
